type,global_step,epoch,batch_idx,loss_total,loss_l1,loss_ssim,timestamp
batch,0,1,0,0.3291936218738556,0.2793762981891632,0.49817317724227905,2025-10-29T22:59:33.007588
batch,1,1,0,0.25986385345458984,0.21109972894191742,0.4876410961151123,2025-10-29T22:59:33.306185
batch,2,1,0,0.2346932291984558,0.1857086420059204,0.4898459315299988,2025-10-29T22:59:33.606685
batch,3,1,0,0.22736681997776031,0.1796732246875763,0.4769359529018402,2025-10-29T22:59:33.906620
batch,4,1,0,0.21106760203838348,0.1649022400379181,0.46165356040000916,2025-10-29T22:59:34.207953
batch,5,1,0,0.18485398590564728,0.14645344018936157,0.3840053975582123,2025-10-29T22:59:34.507196
batch,6,1,0,0.1779230833053589,0.141482412815094,0.36440664529800415,2025-10-29T22:59:34.808531
batch,7,1,0,0.17970828711986542,0.14164474606513977,0.3806353807449341,2025-10-29T22:59:35.109506
batch,8,1,0,0.1612010896205902,0.12209412455558777,0.39106959104537964,2025-10-29T22:59:35.408844
batch,9,1,0,0.16398946940898895,0.1265532225370407,0.37436240911483765,2025-10-29T22:59:35.708642
batch,10,1,0,0.15054023265838623,0.11776383221149445,0.3277639150619507,2025-10-29T22:59:36.010823
batch,11,1,0,0.12913545966148376,0.10502287745475769,0.24112574756145477,2025-10-29T22:59:36.310136
batch,12,1,0,0.15516042709350586,0.11838196218013763,0.3677845895290375,2025-10-29T22:59:36.610456
batch,13,1,0,0.1519230157136917,0.11521345376968384,0.3670956492424011,2025-10-29T22:59:36.911852
batch,14,1,0,0.14285320043563843,0.10424073785543442,0.3861246109008789,2025-10-29T22:59:37.212144
batch,15,1,0,0.1304771453142166,0.09923551976680756,0.3124162256717682,2025-10-29T22:59:37.511920
batch,16,1,0,0.1370401680469513,0.10121213644742966,0.35828036069869995,2025-10-29T22:59:37.813341
batch,17,1,0,0.13447168469429016,0.10082030296325684,0.33651384711265564,2025-10-29T22:59:38.113780
batch,18,1,0,0.12382145971059799,0.09336032718420029,0.30461132526397705,2025-10-29T22:59:38.414601
batch,19,1,0,0.12450972199440002,0.09203813970088959,0.32471585273742676,2025-10-29T22:59:38.715984
batch,20,1,0,0.1249942034482956,0.09014803171157837,0.34846171736717224,2025-10-29T22:59:39.016232
batch,21,1,0,0.12145531177520752,0.08784650266170502,0.33608806133270264,2025-10-29T22:59:39.316692
batch,22,1,0,0.12215521186590195,0.08479293435811996,0.3736227750778198,2025-10-29T22:59:39.618751
batch,23,1,0,0.10927288234233856,0.0787135660648346,0.3055931329727173,2025-10-29T22:59:39.919726
batch,24,1,0,0.1133195161819458,0.08266796916723251,0.3065154254436493,2025-10-29T22:59:40.220248
batch,25,1,0,0.10275591164827347,0.0752074122428894,0.27548497915267944,2025-10-29T22:59:40.520621
batch,26,1,0,0.09898245334625244,0.07602845132350922,0.22953997552394867,2025-10-29T22:59:40.821827
batch,27,1,0,0.09365317970514297,0.07008929550647736,0.2356388419866562,2025-10-29T22:59:41.121893
batch,28,1,0,0.1060291975736618,0.07684428989887238,0.2918490767478943,2025-10-29T22:59:41.422507
batch,29,1,0,0.09537699818611145,0.07142257690429688,0.23954419791698456,2025-10-29T22:59:41.723471
batch,30,1,0,0.0922134667634964,0.06718501448631287,0.2502845227718353,2025-10-29T22:59:42.023969
